"PassengerClass","Sex","No of Siblings or Spouses on Board","No of Parents or Children on Board","Port of Embarkation","Age","Passenger Fare","Survived","id","outlier_flag","Distance Outlier"
"Third","Male",0,0,"Southampton",26.0,7.775,"No",671,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,9.35,"No",672,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",20.0,7.2292,"No",673,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",20.0,4.0125,"No",674,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,56.4958,"Yes",675,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,7.775,"No",676,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,7.75,"No",677,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.8958,"No",678,"Outlier","false"
"Third","Male",1,1,"Cherbourg",6.0,15.2458,"No",679,"No Outlier","false"
"Third","Female",1,1,"Cherbourg",9.0,15.2458,"No",680,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",20.0,7.225,"No",681,"No Outlier","false"
"Third","Female",0,2,"Cherbourg",30.0,15.2458,"No",682,"No Outlier","false"
"Third","Female",0,2,"Queenstown",18.0,7.75,"No",683,"No Outlier","false"
"Third","Male",1,1,"Queenstown",40.0,15.5,"No",684,"No Outlier","false"
"Third","Female",1,1,"Queenstown",32.0,15.5,"No",685,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,16.1,"No",686,"No Outlier","false"
"Third","Female",0,0,"Queenstown",22.0,7.725,"Yes",687,"No Outlier","false"
"Third","Female",0,0,"Southampton",20.0,7.8542,"No",688,"No Outlier","false"
"Third","Male",1,0,"Southampton",29.0,7.0458,"No",689,"No Outlier","false"
"Third","Male",1,0,"Southampton",22.0,7.25,"No",690,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.7958,"No",691,"No Outlier","false"
"Third","Male",0,0,"Southampton",35.0,8.05,"No",692,"No Outlier","false"
"Third","Female",0,0,"Queenstown",18.5,7.2833,"No",693,"No Outlier","false"
"Third","Male",0,0,"Queenstown",21.0,7.8208,"Yes",694,"No Outlier","false"
"Third","Male",0,0,"Queenstown",19.0,6.75,"No",695,"No Outlier","false"
"Third","Female",0,0,"Queenstown",18.0,7.8792,"No",696,"No Outlier","false"
"Third","Female",0,0,"Southampton",21.0,8.6625,"No",697,"No Outlier","false"
"Third","Female",0,0,"Southampton",30.0,8.6625,"No",698,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,8.6625,"No",699,"No Outlier","false"
"Third","Male",0,0,"Southampton",38.0,8.6625,"No",700,"No Outlier","false"
"Third","Male",0,0,"Southampton",17.0,8.6625,"No",701,"No Outlier","false"
"Third","Male",0,0,"Southampton",17.0,8.6625,"No",702,"No Outlier","false"
"Third","Female",0,0,"Queenstown",21.0,7.75,"No",703,"No Outlier","false"
"Third","Male",0,0,"Queenstown",21.0,7.75,"No",704,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,8.05,"No",705,"No Outlier","false"
"Third","Male",1,0,"Cherbourg",27.0,14.4583,"No",706,"No Outlier","false"
"Third","Female",1,0,"Cherbourg",23.0,14.4583,"No",707,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.7958,"No",708,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.8542,"No",709,"No Outlier","false"
"Third","Female",0,0,"Queenstown",16.0,7.75,"Yes",710,"No Outlier","false"
"Third","Female",0,0,"Queenstown",37.0,7.75,"No",711,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.25,"No",712,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,8.05,"No",713,"No Outlier","false"
"Third","Male",0,0,"Queenstown",21.0,7.7333,"No",714,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,56.4958,"Yes",715,"No Outlier","false"
"Third","Male",0,0,"Southampton",29.0,8.05,"No",716,"No Outlier","false"
"Third","Male",1,0,"Cherbourg",26.0,14.4542,"No",717,"No Outlier","false"
"Third","Male",1,0,"Cherbourg",18.0,14.4542,"No",718,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,7.05,"No",719,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,8.05,"Yes",720,"No Outlier","false"
"Third","Male",0,0,"Queenstown",24.0,7.25,"No",721,"Outlier","false"
"Third","Male",0,0,"Southampton",36.0,7.4958,"No",722,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.4958,"No",723,"Outlier","false"
"Third","Male",0,0,"Queenstown",31.0,7.7333,"No",724,"No Outlier","false"
"Third","Male",0,0,"Queenstown",31.0,7.75,"No",725,"No Outlier","false"
"Third","Female",0,0,"Queenstown",22.0,7.75,"Yes",726,"No Outlier","false"
"Third","Female",0,0,"Queenstown",30.0,7.6292,"No",727,"No Outlier","false"
"Third","Male",0,0,"Queenstown",70.5,7.75,"No",728,"No Outlier","false"
"Third","Male",0,0,"Southampton",43.0,8.05,"No",729,"No Outlier","false"
"Third","Male",0,0,"Southampton",35.0,7.8958,"No",730,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.8958,"No",731,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,7.8958,"No",732,"No Outlier","false"
"Third","Male",0,0,"Southampton",30.0,8.05,"No",733,"No Outlier","false"
"Third","Male",1,1,"Southampton",9.0,15.9,"Yes",734,"No Outlier","false"
"Third","Male",1,1,"Southampton",3.0,15.9,"Yes",735,"No Outlier","false"
"Third","Female",0,2,"Southampton",36.0,15.9,"Yes",736,"No Outlier","false"
"Third","Male",0,0,"Southampton",59.0,7.25,"No",737,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,8.1583,"No",738,"No Outlier","false"
"Third","Female",0,1,"Southampton",17.0,16.1,"Yes",739,"No Outlier","false"
"Third","Male",0,1,"Southampton",44.0,16.1,"No",740,"No Outlier","false"
"Third","Male",0,0,"Southampton",17.0,8.6625,"No",741,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",22.5,7.225,"No",742,"No Outlier","false"
"Third","Male",0,0,"Southampton",45.0,8.05,"Yes",743,"No Outlier","false"
"Third","Female",0,0,"Southampton",22.0,10.5167,"No",744,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,10.1708,"No",745,"No Outlier","false"
"Third","Female",0,0,"Queenstown",30.0,6.95,"Yes",746,"No Outlier","false"
"Third","Male",0,0,"Queenstown",29.0,7.75,"Yes",747,"No Outlier","false"
"Third","Male",0,2,"Southampton",0.3333,14.4,"No",748,"No Outlier","false"
"Third","Male",1,1,"Southampton",34.0,14.4,"No",749,"No Outlier","false"
"Third","Female",1,1,"Southampton",28.0,14.4,"No",750,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.8958,"No",751,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.8958,"No",752,"No Outlier","false"
"Third","Male",2,0,"Southampton",24.0,24.15,"No",753,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,8.05,"No",754,"No Outlier","false"
"Third","Male",2,0,"Southampton",21.0,24.15,"No",755,"No Outlier","false"
"Third","Male",2,0,"Southampton",17.0,8.05,"No",756,"No Outlier","false"
"Third","Male",1,0,"Southampton",32.0,16.1,"No",757,"No Outlier","false"
"Third","Female",1,0,"Southampton",26.0,16.1,"Yes",758,"No Outlier","false"
"Third","Male",1,0,"Southampton",36.5,17.4,"Yes",759,"No Outlier","false"
"Third","Female",1,0,"Southampton",36.0,17.4,"Yes",760,"No Outlier","false"
"Third","Male",0,0,"Southampton",30.0,9.5,"Yes",761,"No Outlier","false"
"Third","Male",0,0,"Southampton",16.0,9.5,"No",762,"No Outlier","false"
"Third","Male",1,2,"Southampton",1.0,20.575,"Yes",763,"No Outlier","false"
"Third","Female",1,2,"Southampton",0.1667,20.575,"Yes",764,"No Outlier","false"
"Third","Male",1,2,"Southampton",26.0,20.575,"No",765,"No Outlier","false"
"Third","Female",1,2,"Southampton",33.0,20.575,"Yes",766,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.8958,"No",767,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.8958,"No",768,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.8958,"No",769,"Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.25,"No",770,"No Outlier","false"
"Third","Male",0,0,"Southampton",36.0,7.25,"No",771,"No Outlier","false"
"Third","Female",0,0,"Queenstown",19.0,7.8792,"Yes",772,"No Outlier","false"
"Third","Male",0,0,"Southampton",17.0,7.8958,"No",773,"No Outlier","false"
"Third","Male",0,0,"Southampton",42.0,8.6625,"No",774,"No Outlier","false"
"Third","Male",0,0,"Southampton",43.0,7.8958,"No",775,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",17.0,7.2292,"No",776,"No Outlier","false"
"Third","Male",0,0,"Queenstown",32.0,7.75,"No",777,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,8.05,"Yes",778,"No Outlier","false"
"Third","Female",0,0,"Southampton",30.0,12.475,"Yes",779,"No Outlier","false"
"Third","Female",0,0,"Queenstown",24.0,7.75,"No",780,"Outlier","false"
"Third","Female",0,0,"Southampton",23.0,8.05,"Yes",781,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",33.0,7.8958,"No",782,"No Outlier","false"
"Third","Male",0,0,"Queenstown",65.0,7.75,"No",783,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.55,"Yes",784,"No Outlier","false"
"Third","Male",1,0,"Southampton",23.0,13.9,"No",785,"No Outlier","false"
"Third","Female",1,0,"Southampton",22.0,13.9,"Yes",786,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,7.775,"No",787,"No Outlier","false"
"Third","Male",0,0,"Southampton",16.0,7.775,"No",788,"No Outlier","false"
"Third","Male",0,0,"Southampton",45.0,6.975,"No",789,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",26.0,7.225,"No",790,"No Outlier","false"
"Third","Male",0,2,"Cherbourg",39.0,7.2292,"No",791,"No Outlier","false"
"Third","Male",1,1,"Cherbourg",17.0,7.2292,"No",792,"No Outlier","false"
"Third","Male",1,1,"Cherbourg",15.0,7.2292,"No",793,"No Outlier","false"
"Third","Male",0,0,"Southampton",47.0,7.25,"No",794,"No Outlier","false"
"Third","Female",0,0,"Southampton",5.0,12.475,"Yes",795,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",35.0,7.225,"No",796,"No Outlier","false"
"Third","Male",0,0,"Southampton",40.5,15.1,"No",797,"No Outlier","false"
"Third","Male",0,0,"Queenstown",40.5,7.75,"No",798,"No Outlier","false"
"Third","Male",0,0,"Southampton",23.0,7.05,"Yes",799,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,7.7958,"No",800,"No Outlier","false"
"Third","Female",0,0,"Queenstown",23.0,7.75,"No",801,"No Outlier","false"
"Third","Male",0,0,"Queenstown",22.0,7.75,"No",802,"No Outlier","false"
"Third","Male",0,0,"Queenstown",34.0,6.95,"No",803,"No Outlier","false"
"Third","Male",0,0,"Queenstown",26.0,7.8792,"No",804,"No Outlier","false"
"Third","Male",0,0,"Queenstown",37.0,7.75,"No",805,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,56.4958,"Yes",806,"No Outlier","false"
"Third","Female",2,2,"Southampton",21.0,34.375,"No",807,"No Outlier","false"
"Third","Female",2,2,"Southampton",9.0,34.375,"No",808,"No Outlier","false"
"Third","Male",0,0,"Southampton",18.0,8.05,"No",809,"No Outlier","false"
"Third","Male",2,2,"Southampton",18.0,34.375,"No",810,"No Outlier","false"
"Third","Male",1,3,"Southampton",16.0,34.375,"No",811,"No Outlier","false"
"Third","Female",1,3,"Southampton",48.0,34.375,"No",812,"No Outlier","false"
"Third","Male",0,0,"Queenstown",38.0,7.75,"No",813,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.25,"No",814,"No Outlier","false"
"Third","Male",0,0,"Queenstown",25.0,7.7417,"No",815,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,14.5,"No",816,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",30.0,7.8958,"No",817,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,8.05,"No",818,"No Outlier","false"
"Third","Female",0,0,"Queenstown",16.0,7.7333,"Yes",819,"No Outlier","false"
"Third","Female",0,0,"Queenstown",25.0,7.75,"Yes",820,"Outlier","false"
"Third","Male",0,2,"Southampton",9.0,20.525,"Yes",821,"No Outlier","false"
"Third","Male",1,1,"Southampton",33.0,20.525,"No",822,"No Outlier","false"
"Third","Male",0,0,"Southampton",41.0,7.85,"No",823,"No Outlier","false"
"Third","Female",1,1,"Southampton",31.0,20.525,"Yes",824,"No Outlier","false"
"Third","Male",0,0,"Southampton",38.0,7.05,"No",825,"No Outlier","false"
"Third","Male",5,2,"Southampton",9.0,46.9,"No",826,"No Outlier","false"
"Third","Male",5,2,"Southampton",1.0,46.9,"No",827,"No Outlier","false"
"Third","Male",5,2,"Southampton",11.0,46.9,"No",828,"No Outlier","false"
"Third","Female",5,2,"Southampton",10.0,46.9,"No",829,"No Outlier","false"
"Third","Female",5,2,"Southampton",16.0,46.9,"No",830,"No Outlier","false"
"Third","Male",5,2,"Southampton",14.0,46.9,"No",831,"No Outlier","false"
"Third","Male",1,6,"Southampton",40.0,46.9,"No",832,"No Outlier","false"
"Third","Female",1,6,"Southampton",43.0,46.9,"No",833,"No Outlier","false"
"Third","Male",0,0,"Southampton",51.0,8.05,"No",834,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,8.3625,"No",835,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,8.05,"No",836,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,9.8458,"No",837,"No Outlier","false"
"Third","Male",2,0,"Southampton",37.0,7.925,"No",838,"No Outlier","false"
"Third","Male",2,0,"Southampton",28.0,7.925,"No",839,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,7.775,"No",840,"No Outlier","false"
"Third","Female",0,0,"Southampton",24.0,8.85,"No",841,"No Outlier","false"
"Third","Female",0,0,"Queenstown",17.0,7.7333,"No",842,"No Outlier","false"
"Third","Male",1,0,"Southampton",28.0,19.9667,"No",843,"No Outlier","false"
"Third","Male",1,0,"Southampton",27.0,19.9667,"No",844,"No Outlier","false"
"Third","Male",1,0,"Southampton",28.0,15.85,"No",845,"No Outlier","false"
"Third","Female",1,0,"Southampton",24.0,15.85,"Yes",846,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,9.5,"No",847,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",23.5,7.2292,"No",848,"No Outlier","false"
"Third","Male",2,0,"Southampton",41.0,14.1083,"No",849,"No Outlier","false"
"Third","Male",1,0,"Southampton",26.0,7.8542,"No",850,"Outlier","false"
"Third","Male",0,0,"Southampton",21.0,7.8542,"No",851,"No Outlier","false"
"Third","Female",1,0,"Southampton",45.0,14.1083,"Yes",852,"No Outlier","false"
"Third","Female",0,0,"Southampton",29.0,7.55,"No",853,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.25,"No",854,"Outlier","false"
"Third","Male",0,0,"Queenstown",27.0,6.8583,"No",855,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",11.0,18.7875,"No",856,"No Outlier","false"
"Third","Female",0,0,"Queenstown",26.0,7.75,"Yes",857,"Outlier","false"
"Third","Male",0,0,"Southampton",27.0,6.975,"Yes",858,"No Outlier","false"
"Third","Male",0,0,"Southampton",30.0,56.4958,"Yes",859,"No Outlier","false"
"Third","Female",0,0,"Queenstown",18.0,6.75,"No",860,"No Outlier","false"
"Third","Female",0,0,"Southampton",26.0,7.925,"Yes",861,"Outlier","false"
"Third","Female",0,0,"Southampton",23.0,7.925,"No",862,"No Outlier","false"
"Third","Female",0,0,"Southampton",22.0,8.9625,"Yes",863,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.8958,"No",864,"No Outlier","false"
"Third","Female",0,0,"Southampton",28.0,7.775,"No",865,"No Outlier","false"
"Third","Female",0,0,"Queenstown",27.0,7.75,"No",866,"No Outlier","false"
"Third","Female",0,1,"Southampton",2.0,12.2875,"Yes",867,"No Outlier","false"
"Third","Female",1,1,"Southampton",22.0,12.2875,"Yes",868,"No Outlier","false"
"Third","Male",0,0,"Southampton",43.0,6.45,"No",869,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,22.525,"No",870,"No Outlier","false"
"Third","Female",0,0,"Southampton",27.0,7.925,"Yes",871,"No Outlier","false"
"Third","Male",0,0,"Queenstown",25.0,7.75,"No",872,"No Outlier","false"
"Third","Female",0,0,"Southampton",24.0,8.05,"Yes",873,"Outlier","false"
"Third","Male",0,0,"Southampton",42.0,7.65,"No",874,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.8875,"Yes",875,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",30.0,7.2292,"No",876,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.8958,"No",877,"No Outlier","false"
"Third","Female",1,0,"Southampton",27.0,7.925,"No",878,"No Outlier","false"
"Third","Female",1,0,"Southampton",25.0,7.925,"No",879,"Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.8958,"No",880,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",29.0,7.8958,"Yes",881,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,7.7958,"Yes",882,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.05,"No",883,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.0,7.8542,"No",884,"No Outlier","false"
"Third","Male",0,0,"Southampton",48.0,7.8542,"No",885,"No Outlier","false"
"Third","Male",1,0,"Southampton",17.0,7.0542,"No",886,"No Outlier","false"
"Third","Female",0,0,"Queenstown",26.0,7.75,"Yes",887,"Outlier","false"
"Third","Male",0,0,"Southampton",28.0,8.1125,"Yes",888,"No Outlier","false"
"Third","Male",0,0,"Southampton",34.0,6.4958,"No",889,"No Outlier","false"
"Third","Male",0,0,"Southampton",26.0,7.775,"Yes",890,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.7958,"No",891,"No Outlier","false"
"Third","Male",0,0,"Southampton",33.0,8.6542,"No",892,"No Outlier","false"
"Third","Male",0,0,"Southampton",31.0,7.775,"No",893,"No Outlier","false"
"Third","Male",0,0,"Southampton",29.0,7.8542,"No",894,"No Outlier","false"
"Third","Male",1,1,"Southampton",4.0,11.1333,"Yes",895,"No Outlier","false"
"Third","Female",1,1,"Southampton",1.0,11.1333,"Yes",896,"No Outlier","false"
"Third","Male",0,0,"Southampton",49.0,0.0,"No",897,"No Outlier","false"
"Third","Male",0,0,"Southampton",33.0,7.775,"No",898,"No Outlier","false"
"Third","Male",0,0,"Southampton",19.0,0.0,"No",899,"Outlier","false"
"Third","Female",0,2,"Southampton",27.0,11.1333,"Yes",900,"No Outlier","false"
"Third","Male",1,2,"Southampton",18.0,23.45,"No",901,"No Outlier","false"
"Third","Female",1,2,"Southampton",17.0,23.45,"No",902,"No Outlier","false"
"Third","Male",1,2,"Southampton",28.0,23.45,"No",903,"No Outlier","false"
"Third","Female",1,2,"Southampton",35.0,23.45,"No",904,"No Outlier","false"
"Third","Male",0,0,"Southampton",23.0,7.8958,"No",905,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.8542,"Yes",906,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.8542,"No",907,"No Outlier","false"
"Third","Female",1,0,"Southampton",20.0,9.825,"No",908,"No Outlier","false"
"Third","Female",1,0,"Southampton",21.0,9.825,"No",909,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.925,"Yes",910,"No Outlier","false"
"Third","Male",0,0,"Southampton",17.0,7.125,"No",911,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,8.4333,"No",912,"No Outlier","false"
"Third","Male",0,0,"Southampton",30.0,7.8958,"No",913,"No Outlier","false"
"Third","Male",0,0,"Southampton",21.0,7.7958,"Yes",914,"No Outlier","false"
"Third","Male",0,0,"Southampton",33.0,7.8542,"No",915,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.5208,"No",916,"No Outlier","false"
"Third","Female",0,1,"Cherbourg",4.0,13.4167,"Yes",917,"No Outlier","false"
"Third","Male",0,1,"Cherbourg",39.0,13.4167,"Yes",918,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",21.0,7.2292,"No",919,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",18.5,7.2292,"No",920,"No Outlier","false"
"Third","Male",0,0,"Queenstown",24.0,7.75,"No",921,"No Outlier","false"
"Third","Male",0,0,"Southampton",27.0,7.25,"No",922,"No Outlier","false"
"Third","Female",0,0,"Queenstown",26.0,7.75,"Yes",923,"Outlier","false"
"Third","Female",0,0,"Queenstown",24.0,7.75,"Yes",924,"Outlier","false"
"Third","Male",0,0,"Queenstown",34.5,7.8292,"No",925,"No Outlier","false"
"Third","Male",0,0,"Southampton",44.0,8.05,"No",926,"No Outlier","false"
"Third","Male",0,0,"Queenstown",25.0,7.75,"Yes",927,"No Outlier","false"
"Third","Male",1,0,"Cherbourg",26.0,14.4542,"No",928,"No Outlier","false"
"Third","Female",1,0,"Cherbourg",22.0,14.4542,"No",929,"No Outlier","false"
"Third","Male",1,0,"Queenstown",25.0,7.75,"No",930,"Outlier","false"
"Third","Male",1,0,"Queenstown",25.0,7.75,"No",931,"Outlier","false"
"Third","Male",0,0,"Queenstown",26.0,7.7375,"No",932,"Outlier","false"
"Third","Female",2,0,"Southampton",22.0,8.6625,"No",933,"No Outlier","false"
"Third","Male",2,0,"Southampton",26.0,8.6625,"No",934,"Outlier","false"
"Third","Female",0,2,"Southampton",4.0,22.025,"Yes",935,"No Outlier","false"
"Third","Male",3,1,"Southampton",29.0,22.025,"Yes",936,"No Outlier","false"
"Third","Female",1,1,"Southampton",26.0,22.025,"Yes",937,"No Outlier","false"
"Third","Female",1,1,"Southampton",1.0,12.1833,"No",938,"No Outlier","false"
"Third","Male",1,1,"Southampton",18.0,7.8542,"No",939,"No Outlier","false"
"Third","Female",0,2,"Southampton",36.0,12.1833,"No",940,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",25.0,7.8958,"No",941,"Outlier","false"
"Third","Male",0,0,"Cherbourg",25.0,7.2292,"Yes",942,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",26.0,7.225,"No",943,"No Outlier","false"
"Third","Female",0,0,"Southampton",37.0,9.5875,"No",944,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.8958,"No",945,"No Outlier","false"
"Third","Male",0,0,"Southampton",33.0,56.4958,"Yes",946,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,56.4958,"No",947,"No Outlier","false"
"Third","Female",0,0,"Southampton",22.0,7.25,"Yes",948,"No Outlier","false"
"Third","Male",0,0,"Queenstown",26.0,7.75,"No",949,"Outlier","false"
"Third","Male",0,0,"Southampton",26.0,56.4958,"Yes",950,"No Outlier","false"
"Third","Male",0,0,"Southampton",29.0,9.4833,"No",951,"No Outlier","false"
"Third","Male",0,0,"Southampton",29.0,7.775,"No",952,"No Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.775,"No",953,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",22.0,7.225,"Yes",954,"No Outlier","false"
"Third","Male",3,1,"Southampton",17.0,25.4667,"No",955,"No Outlier","false"
"Third","Female",3,1,"Southampton",16.0,25.4667,"No",956,"No Outlier","false"
"Third","Female",3,1,"Southampton",20.0,25.4667,"No",957,"No Outlier","false"
"Third","Female",3,1,"Southampton",22.0,25.4667,"No",958,"No Outlier","false"
"Third","Female",0,4,"Southampton",29.0,25.4667,"No",959,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.925,"No",960,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",34.5,6.4375,"No",961,"No Outlier","false"
"Third","Female",1,0,"Queenstown",26.0,15.5,"No",962,"No Outlier","false"
"Third","Male",1,0,"Queenstown",25.0,15.5,"No",963,"No Outlier","false"
"Third","Male",0,0,"Southampton",36.0,0.0,"No",964,"No Outlier","false"
"Third","Male",0,0,"Southampton",39.0,24.15,"No",965,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,9.5,"No",966,"No Outlier","false"
"Third","Female",0,0,"Southampton",25.0,7.775,"No",967,"Outlier","false"
"Third","Female",0,0,"Southampton",45.0,7.75,"No",968,"No Outlier","false"
"Third","Male",1,0,"Southampton",36.0,15.55,"No",969,"No Outlier","false"
"Third","Female",1,0,"Southampton",30.0,15.55,"No",970,"No Outlier","false"
"Third","Male",1,0,"Southampton",20.0,7.925,"Yes",971,"No Outlier","false"
"Third","Male",0,0,"Queenstown",25.0,7.8792,"No",972,"Outlier","false"
"Third","Male",0,0,"Southampton",28.0,56.4958,"No",973,"No Outlier","false"
"Third","Male",0,0,"Southampton",28.0,7.55,"No",974,"No Outlier","false"
"Third","Male",1,0,"Southampton",30.0,16.1,"No",975,"No Outlier","false"
"Third","Female",1,0,"Southampton",26.0,16.1,"No",976,"No Outlier","false"
"Third","Male",0,0,"Southampton",25.0,7.8792,"No",977,"No Outlier","false"
"Third","Male",0,0,"Southampton",20.5,7.25,"No",978,"Outlier","false"
"Third","Male",0,0,"Southampton",27.0,8.6625,"Yes",979,"No Outlier","false"
"Third","Male",0,0,"Southampton",51.0,7.0542,"No",980,"No Outlier","false"
"Third","Female",0,0,"Southampton",23.0,7.8542,"Yes",981,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.5792,"Yes",982,"No Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.8958,"No",983,"No Outlier","false"
"Third","Male",0,0,"Southampton",32.0,7.55,"No",984,"No Outlier","false"
"Third","Female",0,0,"Queenstown",25.0,7.75,"Yes",985,"Outlier","false"
"Third","Male",0,0,"Southampton",24.0,7.1417,"Yes",986,"Outlier","false"
"Third","Male",0,0,"Southampton",22.0,7.125,"No",987,"No Outlier","false"
"Third","Female",0,0,"Queenstown",24.0,7.8792,"No",988,"Outlier","false"
"Third","Male",0,0,"Queenstown",26.0,7.75,"No",989,"Outlier","false"
"Third","Male",0,0,"Southampton",26.0,8.05,"No",990,"No Outlier","false"
"Third","Male",0,0,"Southampton",29.0,7.925,"No",991,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",34.0,7.2292,"Yes",992,"No Outlier","false"
"Third","Female",0,0,"Queenstown",30.5,7.75,"No",993,"No Outlier","false"
"Third","Female",0,0,"Queenstown",26.0,7.7375,"Yes",994,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",26.0,7.2292,"No",995,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",35.0,7.8958,"No",996,"No Outlier","false"
"Third","Male",0,0,"Southampton",33.0,7.8958,"No",997,"No Outlier","false"
"Third","Female",0,0,"Cherbourg",27.0,7.225,"Yes",998,"No Outlier","false"
"Third","Male",0,0,"Cherbourg",25.0,7.8958,"No",999,"Outlier","false"
"Third","Female",0,0,"Queenstown",25.0,7.75,"Yes",1000,"Outlier","false"
"Third","Male",0,0,"Queenstown",38.0,7.75,"Yes",1001,"No Outlier","false"
"Third","Female",2,0,"Queenstown",25.0,23.25,"Yes",1002,"No Outlier","false"
"Third","Female",2,0,"Queenstown",24.0,23.25,"Yes",1003,"No Outlier","false"
"Third","Male",2,0,"Queenstown",30.0,23.25,"Yes",1004,"No Outlier","false"
"Third","Female",0,0,"Queenstown",25.0,7.7875,"Yes",1005,"Outlier","false"
"Third","Male",0,0,"Queenstown",24.0,15.5,"No",1006,"No Outlier","false"
